feature,importance
TotalWorkingYears,0.19990447664709646
OverTime,0.16802308284662726
Age,0.10717806679868438
StockOptionLevel,0.10174477218689623
NumCompaniesWorked,0.09258589771975376
MonthlyIncome,0.0821405610613658
Department,0.03159004900206034
WorkLifeBalance,0.03080668884760691
DailyRate,0.02724791501870839
PercentSalaryHike,0.02712167423639178
YearsSinceLastPromotion,0.024094852489184023
JobRole,0.022910550535064432
HourlyRate,0.022897482822391662
EnvironmentSatisfaction,0.01944969255587821
JobLevel,0.017356483724082408
MaritalStatus,0.011579604540326997
Gender,0.00796565870673149
RelationshipSatisfaction,0.005402490261149555
DistanceFromHome,0.0
BusinessTravel,0.0
EducationField,0.0
Education,0.0
JobSatisfaction,0.0
JobInvolvement,0.0
PerformanceRating,0.0
MonthlyRate,0.0
TrainingTimesLastYear,0.0
YearsAtCompany,0.0
YearsInCurrentRole,0.0
YearsWithCurrManager,0.0
